Date,Buy Rate (LKR),Sell Rate (LKR)
2024-09-24,299.7192,309.085
2024-09-23,300.18,309.2836
2024-09-20,299.9417,309.2309
2024-09-19,299.2026,308.5712
2024-09-18,297.7271,307.0166
2024-09-13,296.4599,305.778
2024-09-12,296.4174,305.6915
2024-09-11,296.0824,305.3639
2024-09-10,296.9231,306.3564
2024-09-09,294.5968,303.8148
2024-09-06,294.1826,303.3974
2024-09-05,294.366,303.5903
2024-09-04,294.4895,303.7063
2024-09-03,294.6561,303.8345
2024-09-02,294.7836,303.8481
2024-08-30,295.3866,304.5824
2024-08-29,295.9008,305.1266
2024-08-28,295.8172,305.0549
2024-08-27,296.368,305.6146
2024-08-26,295.3731,304.6485
2024-08-23,296.5514,305.8076
2024-08-22,295.7249,305.0419
2024-08-21,295.2072,304.4523
2024-08-20,294.3604,303.5775
2024-08-16,294.316,303.5267
2024-08-15,294.5113,303.7761
2024-08-14,294.5495,303.82
2024-08-13,295.0812,304.2751
2024-08-12,295.4154,304.6641
2024-08-09,296.286,305.4598
2024-08-08,297.0104,306.2824
2024-08-07,297.5065,306.7677
2024-08-06,297.6981,306.9872
2024-08-05,297.339,306.6515
2024-08-02,297.643,306.9317
2024-08-01,297.7928,307.0819
2024-07-31,297.8582,307.1744
2024-07-30,298.0989,307.3942
2024-07-29,298.485,307.7765
2024-07-26,298.7131,307.9537
2024-07-25,298.9498,308.2486
2024-07-24,299.0799,308.3906
2024-07-23,299.2958,308.5447
2024-07-22,298.8995,308.1989
2024-07-19,299.235,308.5317
2024-07-18,299.2042,308.5274
2024-07-17,299.1543,308.463
2024-07-16,297.7381,307.0529
2024-07-15,297.1963,306.4074
2024-07-12,298.2749,307.4603
2024-07-11,299.0467,308.3411
2024-07-10,299.2616,308.5052
2024-07-09,299.791,309.1277
2024-07-08,300.0255,309.2202
2024-07-05,300.0612,309.3025
2024-07-04,299.6873,308.9221
2024-07-03,298.7262,308.1754
2024-07-02,300.3979,309.6342
2024-07-01,301.3772,310.6444
2024-06-28,301.0183,310.3533
2024-06-27,300.6997,309.8352
2024-06-26,300.526,309.7877
2024-06-25,300.5423,309.8056
2024-06-24,300.5658,309.8847
2024-06-20,300.6388,310.0538
2024-06-19,300.2063,309.6304
2024-06-18,299.3132,308.6531
2024-06-14,299.0423,308.5156
2024-06-13,299.0081,308.4819
2024-06-12,298.7951,308.2634
2024-06-11,298.4565,308.0019
2024-06-10,297.9364,307.5273
2024-06-07,297.8373,307.4417
2024-06-06,297.5664,307.0499
2024-06-05,297.293,306.8807
2024-06-04,297.1489,306.8239
2024-06-03,297.0726,306.67
2024-05-31,296.9774,306.5863
2024-05-30,296.8721,306.4863
2024-05-29,296.83,306.4442
2024-05-28,295.8074,305.4195
2024-05-27,295.3789,304.9953
2024-05-22,294.8231,304.4801
2024-05-21,294.7827,304.3151
2024-05-20,294.9261,304.5972
2024-05-17,295.8026,305.1511
2024-05-16,297.3178,307.0361
2024-05-15,296.7431,306.428
2024-05-14,295.6765,305.2385
2024-05-13,294.1501,303.7846
2024-05-10,293.7297,303.384
2024-05-09,293.8242,303.3789
2024-05-08,294.3822,303.9272
2024-05-07,293.8542,303.0127
2024-05-06,292.0793,302.304
2024-05-03,292.129,301.9031
2024-05-02,292.6868,302.3542
2024-04-30,293.4489,302.76
2024-04-29,291.5224,300.9597
2024-04-26,291.877,301.2928
